Comparison,f_statistic,f_p_value,t_statistic,t_p_value
llama3_8b-instruct-fp16 vs llama3_8b-instruct-sentiment_analysis-fp16,8.235499175387659,0.004504679222968714,-2.8697559435233617,0.004504679222968714
llama3_8b-instruct-q4_K_M vs llama3_8b-instruct-sentiment_analysis-q4_K_M,5.18447217711255,0.023742385488784414,-2.276943604288992,0.023742385488785017
llama3_8b-instruct-q5_K_M vs llama3_8b-instruct-sentiment_analysis-q5_K_M,18.746963218955326,2.259382479119569e-05,-4.329776347452064,2.2593824791195674e-05
llama3_8b-instruct-q8_0 vs llama3_8b-instruct-sentiment_analysis-q8_0,6.8209429692696055,0.009624119620456333,-2.6116935059975184,0.009624119620456258
mistral_7b-instruct-fp16 vs llama3_8b-instruct-fp16,1.557765557869125,0.21354489471784835,1.2481047864138362,0.21354489471784327
mistral_7b-instruct-q4_K_M vs llama3_8b-instruct-q4_K_M,0.37243841348434253,0.5424190541864609,0.6102773250616002,0.542419054186455
mistral_7b-instruct-q5_K_M vs llama3_8b-instruct-q5_K_M,4.424909691370972,0.03669367926510705,2.1035469311073065,0.036693679265107214
mistral_7b-instruct-q8_0 vs llama3_8b-instruct-q8_0,0.7116540907831288,0.39993958565524224,0.8435959286193425,0.3999395856552428
dolphin-mistral_7b-v2.8-fp16 vs mistral_7b-instruct-fp16,0.006607548568187073,0.9353003203076695,0.08128682899576696,0.9353003203076233
dolphin-mistral_7b-v2.8-q4_K_M vs mistral_7b-instruct-q4_K_M,15.541525494650628,0.00011397812299177589,3.9422741526497886,0.00011397812299177628
dolphin-mistral_7b-v2.8-q5_K_M vs mistral_7b-instruct-q5_K_M,2.4578929157164553,0.11854857795066072,-1.5677668563011697,0.1185485779506625
dolphin-mistral_7b-v2.8-q8_0 vs mistral_7b-instruct-q8_0,0.337625571224316,0.5618809305853437,-0.581055566382698,0.5618809305853403
